iter	Passed	Remaining
0	91	91011
1	91	45772
2	92	30656
3	92	23083
4	93	18541
5	93	15512
6	94	13350
7	94	11727
8	95	10465
9	95	9455
10	95	8629
11	96	7939
12	96	7357
13	97	6857
14	97	6425
15	98	6045
16	98	5710
17	99	5418
18	99	5153
19	100	4913
20	100	4698
21	101	4502
22	101	4322
23	102	4157
24	102	4005
25	103	3865
26	103	3736
27	104	3615
28	104	3502
29	105	3397
30	105	3299
31	106	3206
32	106	3120
33	106	3038
34	107	2961
35	107	2888
36	108	2819
37	108	2754
38	109	2692
39	109	2635
40	110	2580
41	110	2527
42	111	2476
43	111	2427
44	112	2381
45	112	2336
46	113	2294
47	113	2253
48	114	2213
49	114	2175
50	114	2139
51	115	2104
52	115	2071
53	116	2038
54	116	2008
55	117	1978
56	117	1948
57	118	1920
58	118	1893
59	119	1867
60	119	1841
61	120	1816
62	120	1792
63	121	1769
64	121	1748
65	122	1726
66	122	1705
67	122	1681
68	123	1661
69	123	1642
70	124	1623
71	124	1605
72	125	1587
73	125	1570
74	126	1554
75	126	1537
76	126	1521
77	127	1506
78	127	1491
79	128	1476
80	128	1461
81	129	1447
82	129	1433
83	130	1419
84	130	1404
85	130	1392
86	131	1377
87	131	1365
88	132	1353
89	132	1341
90	133	1330
91	133	1318
92	134	1308
93	134	1297
94	135	1287
95	135	1276
96	136	1266
97	136	1256
98	136	1246
99	137	1237
100	137	1227
101	138	1216
102	138	1207
103	139	1198
104	139	1189
105	140	1180
106	140	1172
107	140	1163
108	141	1155
109	141	1147
110	142	1140
111	142	1132
112	143	1124
113	143	1117
114	144	1109
115	144	1101
116	145	1094
117	145	1087
118	145	1079
119	146	1073
120	146	1066
121	147	1059
122	147	1051
123	147	1044
124	148	1038
125	148	1032
126	149	1026
127	149	1019
128	150	1013
129	150	1007
130	151	1001
131	151	996
132	151	990
133	152	984
134	152	980
135	153	974
136	153	969
137	154	963
138	154	958
139	155	953
140	155	949
141	156	944
142	156	939
143	157	934
144	157	930
145	158	925
146	158	920
147	159	916
148	159	911
149	160	907
150	160	902
151	160	898
152	161	893
153	162	890
154	162	885
155	162	881
156	163	877
157	163	873
158	164	868
159	164	865
160	165	861
161	165	857
162	166	853
163	166	849
164	167	845
165	167	842
166	168	838
167	168	834
168	168	830
169	169	827
170	169	823
171	170	820
172	170	816
173	171	814
174	172	811
175	172	807
176	173	804
177	173	801
178	173	797
179	174	794
180	174	790
181	175	786
182	175	783
183	176	780
184	176	777
185	176	774
186	177	771
187	177	768
188	178	765
189	178	762
190	179	759
191	179	756
192	180	753
193	180	750
194	181	747
195	181	744
196	182	742
197	182	739
198	182	736
199	183	733
200	183	731
201	184	728
202	184	725
203	185	722
204	185	720
205	186	717
206	186	715
207	187	712
208	187	709
209	188	707
210	188	704
211	189	703
212	189	701
213	190	698
214	190	696
215	191	693
216	191	691
217	192	688
218	192	686
219	192	684
220	193	681
221	193	679
222	194	676
223	194	674
224	195	672
225	195	670
226	196	668
227	196	665
228	197	663
229	197	661
230	197	659
231	198	657
232	199	655
233	199	653
234	200	651
235	200	649
236	200	647
237	201	644
238	201	642
239	202	640
240	202	638
241	203	636
242	203	634
243	204	632
244	204	630
245	205	628
246	205	626
247	206	624
248	206	622
249	206	620
250	207	618
251	207	617
252	208	615
253	208	613
254	209	611
255	209	609
256	210	607
257	210	605
258	211	604
259	211	602
260	212	600
261	212	598
262	212	596
263	213	594
264	213	593
265	214	591
266	214	589
267	215	587
268	215	585
269	216	584
270	216	582
271	217	580
272	217	579
273	217	577
274	218	575
275	218	574
276	219	572
277	219	570
278	220	569
279	220	567
280	221	565
281	221	564
282	222	562
283	222	561
284	223	559
285	223	557
286	223	556
287	224	554
288	224	553
289	225	551
290	225	550
291	226	548
292	226	547
293	227	545
294	227	544
295	228	542
296	228	541
297	229	539
298	229	538
299	230	536
300	230	535
301	230	533
302	231	532
303	231	530
304	232	529
305	232	527
306	233	526
307	233	525
308	234	523
309	234	522
310	235	521
311	235	519
312	236	518
313	236	517
314	237	515
315	237	514
316	238	512
317	238	511
318	238	510
319	239	508
320	239	507
321	240	506
322	240	504
323	241	503
324	241	502
325	242	500
326	242	499
327	243	498
328	243	496
329	244	495
330	244	494
331	244	492
332	245	491
333	245	490
334	246	489
335	246	487
336	247	486
337	247	485
338	248	483
339	248	482
340	249	481
341	249	480
342	250	478
343	250	477
344	250	476
345	251	475
346	251	473
347	252	472
348	252	471
349	253	471
350	254	469
351	254	468
352	255	467
353	255	466
354	255	465
355	256	463
356	256	462
357	257	461
358	257	460
359	258	459
360	258	458
361	259	456
362	259	455
363	260	454
364	260	453
365	261	452
366	261	450
367	261	449
368	262	448
369	263	447
370	263	446
371	263	445
372	264	444
373	264	443
374	265	442
375	265	441
376	266	440
377	266	439
378	267	437
379	267	436
380	268	435
381	268	434
382	269	433
383	269	432
384	270	431
385	270	430
386	270	429
387	271	428
388	271	427
389	272	426
390	272	425
391	273	424
392	273	422
393	274	421
394	274	420
395	275	419
396	275	418
397	276	417
398	276	416
399	277	415
400	277	414
401	277	413
402	278	412
403	278	411
404	279	410
405	279	409
406	280	408
407	280	407
408	281	406
409	281	405
410	282	404
411	282	403
412	283	402
413	283	401
414	284	400
415	284	399
416	285	398
417	285	397
418	286	396
419	286	395
420	286	394
421	287	393
422	287	392
423	288	391
424	288	390
425	289	389
426	289	388
427	290	388
428	290	387
429	291	386
430	292	385
431	292	384
432	293	383
433	293	382
434	294	381
435	294	381
436	295	380
437	295	379
438	296	378
439	296	377
440	297	376
441	297	375
442	297	374
443	298	373
444	298	372
445	299	371
446	299	370
447	300	369
448	300	369
449	301	368
450	301	367
451	302	366
452	302	365
453	303	364
454	303	363
455	303	362
456	304	361
457	304	360
458	305	359
459	305	358
460	306	358
461	306	357
462	307	356
463	307	355
464	308	354
465	308	353
466	308	352
467	309	351
468	309	350
469	310	349
470	310	349
471	311	348
472	311	347
473	312	346
474	312	345
475	313	344
476	313	343
477	313	342
478	314	341
479	314	341
480	315	340
481	315	339
482	316	338
483	316	337
484	317	337
485	318	336
486	318	335
487	319	335
488	319	334
489	320	333
490	321	332
491	321	332
492	322	331
493	322	330
494	323	329
495	323	329
496	324	328
497	324	327
498	325	326
499	325	325
500	326	325
501	326	324
502	327	323
503	327	322
504	328	321
505	328	320
506	329	320
507	329	319
508	330	318
509	330	317
510	331	316
511	331	315
512	332	315
513	332	314
514	333	313
515	333	312
516	334	312
517	334	311
518	334	310
519	335	309
520	335	308
521	336	308
522	336	307
523	337	306
524	337	305
525	338	304
526	338	303
527	339	303
528	339	302
529	340	301
530	340	300
531	340	299
532	341	299
533	341	298
534	342	297
535	342	296
536	343	295
537	343	295
538	344	294
539	344	293
540	345	292
541	345	292
542	346	291
543	346	290
544	347	289
545	347	288
546	347	288
547	348	287
548	348	286
549	349	285
550	349	285
551	350	284
552	350	283
553	351	282
554	351	281
555	352	281
556	352	280
557	353	279
558	353	278
559	353	278
560	354	277
561	354	276
562	355	275
563	355	275
564	356	274
565	356	273
566	357	272
567	357	272
568	358	271
569	358	270
570	359	269
571	359	269
572	360	268
573	360	267
574	360	266
575	361	266
576	362	265
577	362	264
578	363	264
579	363	263
580	364	262
581	364	261
582	365	261
583	365	260
584	365	259
585	366	258
586	366	258
587	367	257
588	367	256
589	368	255
590	368	255
591	369	254
592	369	253
593	370	253
594	370	252
595	371	251
596	371	250
597	372	250
598	372	249
599	372	248
600	373	247
601	373	247
602	374	246
603	374	245
604	375	245
605	375	244
606	376	243
607	376	242
608	377	242
609	377	241
610	378	240
611	378	239
612	378	239
613	379	238
614	379	237
615	380	237
616	380	236
617	381	235
618	382	235
619	382	234
620	382	233
621	383	233
622	383	232
623	384	231
624	384	230
625	385	230
626	385	229
627	386	228
628	386	227
629	386	227
630	387	226
631	387	225
632	388	225
633	388	224
634	389	223
635	390	223
636	390	222
637	391	221
638	391	221
639	392	220
640	392	219
641	392	219
642	393	218
643	393	217
644	394	217
645	394	216
646	395	215
647	395	214
648	396	214
649	396	213
650	397	212
651	397	212
652	398	211
653	398	210
654	399	210
655	399	209
656	400	209
657	401	208
658	401	207
659	401	207
660	402	206
661	402	205
662	403	205
663	403	204
664	404	203
665	404	203
666	405	202
667	405	201
668	406	200
669	406	200
670	407	199
671	407	198
672	408	198
673	408	197
674	409	196
675	409	196
676	409	195
677	410	194
678	410	194
679	411	193
680	411	192
681	412	192
682	412	191
683	413	190
684	413	190
685	414	189
686	414	188
687	415	188
688	415	187
689	416	186
690	416	186
691	417	185
692	417	185
693	418	184
694	418	183
695	419	183
696	419	182
697	420	181
698	420	181
699	421	180
700	421	179
701	421	179
702	422	178
703	422	177
704	423	177
705	423	176
706	424	175
707	424	175
708	425	174
709	425	173
710	426	173
711	426	172
712	426	171
713	427	171
714	427	170
715	428	169
716	428	169
717	429	168
718	429	167
719	430	167
720	430	166
721	431	165
722	431	165
723	432	164
724	432	164
725	432	163
726	433	162
727	433	162
728	434	161
729	434	160
730	435	160
731	435	159
732	436	158
733	436	158
734	437	157
735	437	156
736	438	156
737	438	155
738	438	155
739	439	154
740	439	153
741	440	153
742	440	152
743	441	151
744	441	151
745	442	150
746	442	149
747	443	149
748	444	148
749	444	148
750	445	147
751	445	147
752	446	146
753	447	145
754	447	145
755	448	144
756	448	144
757	449	143
758	449	142
759	450	142
760	450	141
761	451	140
762	451	140
763	452	139
764	452	139
765	453	138
766	453	137
767	454	137
768	454	136
769	455	135
770	455	135
771	456	134
772	456	134
773	457	133
774	457	132
775	458	132
776	458	131
777	459	130
778	459	130
779	459	129
780	460	129
781	460	128
782	461	127
783	461	127
784	462	126
785	462	126
786	463	125
787	463	124
788	464	124
789	464	123
790	465	122
791	465	122
792	466	121
793	466	121
794	467	120
795	467	119
796	468	119
797	468	118
798	468	117
799	469	117
800	469	116
801	470	116
802	470	115
803	471	114
804	471	114
805	472	113
806	472	113
807	473	112
808	473	111
809	474	111
810	474	110
811	475	109
812	475	109
813	476	108
814	476	108
815	477	107
816	477	106
817	477	106
818	478	105
819	478	105
820	479	104
821	479	103
822	480	103
823	480	102
824	481	102
825	481	101
826	482	100
827	482	100
828	483	99
829	483	99
830	484	98
831	484	97
832	485	97
833	485	96
834	486	96
835	486	95
836	487	94
837	487	94
838	488	93
839	488	93
840	489	92
841	489	91
842	489	91
843	490	90
844	490	90
845	491	89
846	491	88
847	492	88
848	492	87
849	493	87
850	493	86
851	494	85
852	494	85
853	495	84
854	495	84
855	496	83
856	496	82
857	497	82
858	497	81
859	498	81
860	498	80
861	499	79
862	499	79
863	500	78
864	500	78
865	501	77
866	501	76
867	501	76
868	502	75
869	502	75
870	503	74
871	503	73
872	504	73
873	504	72
874	505	72
875	505	71
876	506	70
877	506	70
878	507	69
879	507	69
880	508	68
881	508	68
882	508	67
883	509	66
884	509	66
885	510	65
886	510	65
887	511	64
888	511	63
889	512	63
890	512	62
891	513	62
892	513	61
893	514	60
894	514	60
895	515	59
896	515	59
897	516	58
898	516	58
899	516	57
900	517	56
901	517	56
902	518	55
903	518	55
904	519	54
905	519	53
906	520	53
907	520	52
908	521	52
909	521	51
910	522	51
911	522	50
912	523	49
913	523	49
914	523	48
915	524	48
916	524	47
917	525	46
918	525	46
919	526	45
920	526	45
921	527	44
922	527	44
923	528	43
924	528	42
925	529	42
926	529	41
927	530	41
928	530	40
929	531	39
930	531	39
931	532	38
932	532	38
933	533	37
934	533	37
935	534	36
936	534	35
937	535	35
938	535	34
939	535	34
940	536	33
941	536	33
942	537	32
943	537	31
944	538	31
945	538	30
946	539	30
947	539	29
948	540	29
949	540	28
950	541	27
951	541	27
952	542	26
953	542	26
954	543	25
955	543	25
956	544	24
957	544	23
958	545	23
959	545	22
960	546	22
961	546	21
962	547	21
963	547	20
964	548	19
965	548	19
966	548	18
967	549	18
968	549	17
969	550	17
970	550	16
971	551	15
972	551	15
973	552	14
974	552	14
975	553	13
976	553	13
977	554	12
978	554	11
979	555	11
980	555	10
981	556	10
982	556	9
983	557	9
984	557	8
985	557	7
986	558	7
987	558	6
988	559	6
989	559	5
990	560	5
991	560	4
992	561	3
993	561	3
994	562	2
995	562	2
996	562	1
997	563	1
998	563	0
999	564	0
