iter	Passed	Remaining
0	0	828
1	1	775
2	2	778
3	3	763
4	3	763
5	4	756
6	5	747
7	5	727
8	6	718
9	7	708
10	7	705
11	8	699
12	9	691
13	9	688
14	10	680
15	10	676
16	11	671
17	12	666
18	12	662
19	13	658
20	14	656
21	14	653
22	15	651
23	16	651
24	16	648
25	17	645
26	17	641
27	18	638
28	18	635
29	19	633
30	20	630
31	20	627
32	21	625
33	21	623
34	22	623
35	23	627
36	24	625
37	24	624
38	25	622
39	25	619
40	26	617
41	26	614
42	27	611
43	28	609
44	28	608
45	29	608
46	29	605
47	30	604
48	31	603
49	31	602
50	32	600
51	32	599
52	33	597
53	34	595
54	34	594
55	35	593
56	35	591
57	36	590
58	36	588
59	37	587
60	38	586
61	38	585
62	39	584
63	39	582
64	40	581
65	40	579
66	41	578
67	42	577
68	42	576
69	43	574
70	43	574
71	44	573
72	45	571
73	45	571
74	46	570
75	46	568
76	47	567
77	47	566
78	48	565
79	49	564
80	49	563
81	50	563
82	50	559
83	51	558
84	51	558
85	52	558
86	53	557
87	53	557
88	54	556
89	55	556
90	55	555
91	56	555
92	56	554
93	57	553
94	58	552
95	58	551
96	59	550
97	59	550
98	60	549
99	60	548
100	61	547
101	62	546
102	62	544
103	63	542
104	63	541
105	63	539
106	64	537
107	64	536
108	65	534
109	65	533
110	66	532
111	67	532
112	67	531
113	68	530
114	68	529
115	69	527
116	69	525
117	70	524
118	70	522
119	71	521
120	71	520
121	71	518
122	72	516
123	72	515
124	73	514
125	74	513
126	74	512
127	75	511
128	75	510
129	76	508
130	76	507
131	76	505
132	77	504
133	77	503
134	78	502
135	78	500
136	79	499
137	79	498
138	80	497
139	80	496
140	81	495
141	81	493
142	82	493
143	82	491
144	83	491
145	83	491
146	84	489
147	84	488
148	85	487
149	85	486
150	86	485
151	86	484
152	87	483
153	87	482
154	88	481
155	88	481
156	89	480
157	89	479
158	90	478
159	90	477
160	91	475
161	91	474
162	92	473
163	92	472
164	93	471
165	93	470
166	94	469
167	94	468
168	95	467
169	95	466
170	96	465
171	96	465
172	97	464
173	97	463
174	98	462
175	98	461
176	98	460
177	99	459
178	99	458
179	100	457
180	100	456
181	101	455
182	101	454
183	102	453
184	102	452
185	103	452
186	103	452
187	104	451
188	104	450
189	105	449
190	105	448
191	106	447
192	106	446
193	107	445
194	107	444
195	108	443
196	108	443
197	109	442
198	109	441
199	110	440
200	110	439
201	111	439
202	111	438
203	112	437
204	112	436
205	113	435
206	113	434
207	114	434
208	114	433
209	114	432
210	115	431
211	115	430
212	116	429
213	116	429
214	117	428
215	117	427
216	119	430
217	119	429
218	120	428
219	120	427
220	121	427
221	121	426
222	122	425
223	122	424
224	123	423
225	123	423
226	124	422
227	124	421
228	124	420
229	125	419
230	125	419
231	126	418
232	126	417
233	127	416
234	127	416
235	128	415
236	128	414
237	129	413
238	129	413
239	130	412
240	130	411
241	131	410
242	131	409
243	132	409
244	132	408
245	133	407
246	133	407
247	134	406
248	134	405
249	135	405
250	135	404
251	136	404
252	136	403
253	137	403
254	137	402
255	138	401
256	138	401
257	139	400
258	139	399
259	140	399
260	140	398
261	141	397
262	141	397
263	142	396
264	142	395
265	143	395
266	143	394
267	144	393
268	144	393
269	145	392
270	145	391
271	146	391
272	146	390
273	147	389
274	147	389
275	148	388
276	148	388
277	149	387
278	149	386
279	150	386
280	150	385
281	151	384
282	151	384
283	152	383
284	152	382
285	153	382
286	153	381
287	153	380
288	154	380
289	155	379
290	155	379
291	156	378
292	156	378
293	157	377
294	157	376
295	158	376
296	158	375
297	159	374
298	159	374
299	159	373
300	160	372
301	161	372
302	161	371
303	162	370
304	162	370
305	163	369
306	163	369
307	164	368
308	164	368
309	165	367
310	165	366
311	165	366
312	166	365
313	166	364
314	167	364
315	167	363
316	168	362
317	168	362
318	169	361
319	169	361
320	170	360
321	171	360
322	171	359
323	172	359
324	172	358
325	173	358
326	173	357
327	174	356
328	174	356
329	175	355
330	175	354
331	176	354
332	176	353
333	177	353
334	177	352
335	178	352
336	178	351
337	179	350
338	179	350
339	180	349
340	180	348
341	180	348
342	181	347
343	181	346
344	182	346
345	182	345
346	183	344
347	183	344
348	184	343
349	184	343
350	185	342
351	186	342
352	186	342
353	187	341
354	187	341
355	188	340
356	188	339
357	189	339
358	189	338
359	190	337
360	190	337
361	191	336
362	191	336
363	192	337
364	193	336
365	194	336
366	195	336
367	195	336
368	196	335
369	197	335
370	197	335
371	198	335
372	199	335
373	200	335
374	201	336
375	202	336
376	203	336
377	204	336
378	205	336
379	205	335
380	207	336
381	207	336
382	208	335
383	208	335
384	209	334
385	209	333
386	210	333
387	210	332
388	211	331
389	211	331
390	212	330
391	212	330
392	213	329
393	213	329
394	214	328
395	215	328
396	215	327
397	216	327
398	216	326
399	217	325
400	217	325
401	218	324
402	218	324
403	219	323
404	219	323
405	220	322
406	221	322
407	221	321
408	222	320
409	222	320
410	223	319
411	223	319
412	224	318
413	224	317
414	225	317
415	225	316
416	225	315
417	226	315
418	226	314
419	227	314
420	227	313
421	228	313
422	229	312
423	229	312
424	230	311
425	230	310
426	231	310
427	231	309
428	232	308
429	232	308
430	233	307
431	233	307
432	234	306
433	234	305
434	234	305
435	235	304
436	236	304
437	236	303
438	237	302
439	237	302
440	237	301
441	238	301
442	238	300
443	239	299
444	239	299
445	240	298
446	240	297
447	241	297
448	241	296
449	242	296
450	242	295
451	243	294
452	243	294
453	244	293
454	244	293
455	245	292
456	245	291
457	246	291
458	246	290
459	247	290
460	247	289
461	248	288
462	248	288
463	249	287
464	249	287
465	250	286
466	250	286
467	251	285
468	251	285
469	252	284
470	253	284
471	253	283
472	254	283
473	254	282
474	255	282
475	256	281
476	256	281
477	257	280
478	257	280
479	258	279
480	258	279
481	259	278
482	259	278
483	260	277
484	260	277
485	261	276
486	261	275
487	262	275
488	262	274
489	263	274
490	263	273
491	264	272
492	264	272
493	265	271
494	265	271
495	266	270
496	266	270
497	267	269
498	268	269
499	268	268
500	269	268
501	269	267
502	270	266
503	270	266
504	271	265
505	271	265
506	271	264
507	272	263
508	273	263
509	273	263
510	274	262
511	274	261
512	275	261
513	275	260
514	276	260
515	276	259
516	277	258
517	277	258
518	278	257
519	278	257
520	279	256
521	279	256
522	280	255
523	280	255
524	281	254
525	282	254
526	282	253
527	283	253
528	283	252
529	284	252
530	285	252
531	286	251
532	286	251
533	287	250
534	287	250
535	288	249
536	289	249
537	289	248
538	290	248
539	290	247
540	291	246
541	291	246
542	292	245
543	292	245
544	292	244
545	293	244
546	293	243
547	294	242
548	294	242
549	295	241
550	296	241
551	296	240
552	297	240
553	297	239
554	298	239
555	298	238
556	299	238
557	299	237
558	300	236
559	300	236
560	301	235
561	301	235
562	302	234
563	303	234
564	303	233
565	303	233
566	304	232
567	304	231
568	305	231
569	305	230
570	306	230
571	306	229
572	307	229
573	307	228
574	308	227
575	308	227
576	309	226
577	309	226
578	310	225
579	310	225
580	311	224
581	311	224
582	312	223
583	312	222
584	313	222
585	313	221
586	314	221
587	314	220
588	315	219
589	315	219
590	316	218
591	316	218
592	317	217
593	317	217
594	318	216
595	318	216
596	319	215
597	319	214
598	320	214
599	320	213
600	321	213
601	321	212
602	322	212
603	322	211
604	322	210
605	323	210
606	323	209
607	324	209
608	325	208
609	325	208
610	325	207
611	326	206
612	326	206
613	327	205
614	327	205
615	328	204
616	328	204
617	329	203
618	329	203
619	330	202
620	330	201
621	331	201
622	331	200
623	332	200
624	332	199
625	333	199
626	333	198
627	334	198
628	334	197
629	335	196
630	335	196
631	336	195
632	336	195
633	337	194
634	337	194
635	338	193
636	338	193
637	339	192
638	339	192
639	340	191
640	340	190
641	341	190
642	341	189
643	342	189
644	342	188
645	343	188
646	343	187
647	344	186
648	344	186
649	345	185
650	345	185
651	346	184
652	346	184
653	347	183
654	347	183
655	348	182
656	348	182
657	349	181
658	349	181
659	350	180
660	350	179
661	351	179
662	351	178
663	352	178
664	352	177
665	353	177
666	353	176
667	354	176
668	355	175
669	355	175
670	356	174
671	356	174
672	357	173
673	357	173
674	358	172
675	358	171
676	359	171
677	359	170
678	360	170
679	360	169
680	361	169
681	361	168
682	362	168
683	363	167
684	363	167
685	364	166
686	364	166
687	365	165
688	365	165
689	366	164
690	366	163
691	367	163
692	367	162
693	368	162
694	368	161
695	369	161
696	369	160
697	370	160
698	370	159
699	371	159
700	371	158
701	372	158
702	372	157
703	373	156
704	373	156
705	374	155
706	374	155
707	375	154
708	375	154
709	376	153
710	376	153
711	377	152
712	377	152
713	378	151
714	378	150
715	379	150
716	379	149
717	380	149
718	380	148
719	381	148
720	381	147
721	381	147
722	382	146
723	382	145
724	383	145
725	383	144
726	384	144
727	385	143
728	385	143
729	386	142
730	386	142
731	387	141
732	387	141
733	388	140
734	388	140
735	389	139
736	389	139
737	390	138
738	390	137
739	391	137
740	391	136
741	392	136
742	392	135
743	393	135
744	393	134
745	394	134
746	394	133
747	395	133
748	395	132
749	396	132
750	396	131
751	397	130
752	397	130
753	398	129
754	398	129
755	399	128
756	399	128
757	400	127
758	400	127
759	401	126
760	401	126
761	402	125
762	402	125
763	403	124
764	403	123
765	404	123
766	404	122
767	404	122
768	405	121
769	406	121
770	406	120
771	407	120
772	407	119
773	408	119
774	408	118
775	408	118
776	409	117
777	409	116
778	410	116
779	410	115
780	411	115
781	411	114
782	412	114
783	412	113
784	413	113
785	413	112
786	414	112
787	414	111
788	415	111
789	415	110
790	416	109
791	416	109
792	417	108
793	417	108
794	418	107
795	418	107
796	419	106
797	419	106
798	420	105
799	420	105
800	421	104
801	421	104
802	422	103
803	422	103
804	423	102
805	423	101
806	424	101
807	424	100
808	425	100
809	425	99
810	426	99
811	426	98
812	427	98
813	427	97
814	428	97
815	428	96
816	429	96
817	429	95
818	430	95
819	430	94
820	431	94
821	431	93
822	432	92
823	432	92
824	433	91
825	433	91
826	434	90
827	434	90
828	435	89
829	435	89
830	436	88
831	437	88
832	437	87
833	437	87
834	438	86
835	438	86
836	439	85
837	439	85
838	440	84
839	440	83
840	441	83
841	441	82
842	442	82
843	442	81
844	443	81
845	444	80
846	444	80
847	445	79
848	445	79
849	446	78
850	446	78
851	446	77
852	447	77
853	447	76
854	448	76
855	449	75
856	449	75
857	450	74
858	450	74
859	451	73
860	451	72
861	452	72
862	453	71
863	453	71
864	454	70
865	454	70
866	455	69
867	455	69
868	456	68
869	456	68
870	457	67
871	457	67
872	458	66
873	458	66
874	459	65
875	460	65
876	460	64
877	461	64
878	461	63
879	462	63
880	462	62
881	463	61
882	463	61
883	464	60
884	464	60
885	465	59
886	465	59
887	466	58
888	466	58
889	467	57
890	468	57
891	468	56
892	469	56
893	469	55
894	469	55
895	470	54
896	470	54
897	471	53
898	471	53
899	472	52
900	473	51
901	473	51
902	474	50
903	475	50
904	476	49
905	476	49
906	477	48
907	477	48
908	478	47
909	478	47
910	479	46
911	479	46
912	480	45
913	481	45
914	481	44
915	482	44
916	482	43
917	483	43
918	483	42
919	484	42
920	484	41
921	485	41
922	485	40
923	486	39
924	486	39
925	487	38
926	487	38
927	488	37
928	488	37
929	489	36
930	489	36
931	490	35
932	490	35
933	491	34
934	491	34
935	492	33
936	492	33
937	493	32
938	493	32
939	494	31
940	494	31
941	495	30
942	496	29
943	496	29
944	497	28
945	497	28
946	498	27
947	498	27
948	499	26
949	499	26
950	500	25
951	500	25
952	501	24
953	501	24
954	502	23
955	502	23
956	503	22
957	503	22
958	504	21
959	505	21
960	505	20
961	505	19
962	506	19
963	506	18
964	507	18
965	507	17
966	508	17
967	508	16
968	509	16
969	509	15
970	510	15
971	511	14
972	511	14
973	512	13
974	512	13
975	513	12
976	513	12
977	513	11
978	514	11
979	514	10
980	515	9
981	515	9
982	516	8
983	516	8
984	517	7
985	518	7
986	518	6
987	519	6
988	519	5
989	520	5
990	520	4
991	521	4
992	521	3
993	522	3
994	522	2
995	523	2
996	523	1
997	524	1
998	524	0
999	525	0
